player_name,position,age,current_club,interested_club,contract_expiry_date,market_value,last_updated,probability,loaded_at
Matt Turner,Goalkeeper,30,Forest,Olympique Lyon,"Jun 30, 2025",€2.50m,,100,2025-06-12 07:28:34
Ademola Ola-Adebomi,Centre-Forward,21,Palace U21,Radnicki 1923,-,€300k,,100,2025-06-12 07:28:34
Omar Al-Somah,Centre-Forward,36,Al-Orobah,Wydad AC,-,€600k,,98,2025-06-12 07:28:34
Franco Mastantuono,Right Winger,17,River Plate,Real Madrid,"Dec 31, 2026",€30.00m,,98,2025-06-12 07:28:34
Jordan Torunarigha,Centre-Back,27,KAA Gent,Hamburger SV,"Jun 30, 2025",€4.50m,,98,2025-06-12 07:28:34
Stanislav Ivanov,Right Winger,26,Arda Kardzhali,Ludogorets,"Jun 30, 2026",€1.50m,,98,2025-06-12 07:28:34
Adrien Truffert,Left-Back,23,Stade Rennais,Bournemouth,"Jun 30, 2026",€15.00m,,98,2025-06-12 07:28:34
Mathis Amougou,Central Midfield,19,Chelsea,R. Strasbourg,"Jun 30, 2033",€10.00m,,98,2025-06-12 07:28:34
Milos Kerkez,Left-Back,21,Bournemouth,Liverpool,"Jun 30, 2028",€45.00m,,96,2025-06-12 07:28:34
Adil Boulbina,Left Winger,22,Paradou AC,Al-Duhail SC,"Jun 30, 2026",€2.00m,,95,2025-06-12 07:28:34
Sondre Ørjasæter,Left Winger,21,Sarpsborg 08,Celtic,"Dec 31, 2028",€6.00m,,95,2025-06-12 07:28:34
Aref Aghasi,Centre-Back,28,Tractor,Esteghlal FC,"Jun 30, 2025",€1.00m,,90,2025-06-12 07:28:34
Yunus Musah,Central Midfield,22,AC Milan,Napoli,"Jun 30, 2028",€22.00m,,90,2025-06-12 07:28:34
Aymane Mourid,Defensive Midfield,25,Union Touarga,Baltika,"Jun 30, 2026",€600k,,90,2025-06-12 07:28:34
Mohammadjavad Hosseinnejad,Attacking Midfield,21,Dinamo Makhach.,Esteghlal FC,"Jun 30, 2027",€900k,,90,2025-06-12 07:28:34
Dominik Javorcek,Left-Back,22,MSK Zilina,Slavia Prague,"Jun 30, 2025",€550k,,89,2025-06-12 07:28:34
Virgil Misidjan,Left Winger,31,Ferencváros,NEC Nijmegen,"Jun 30, 2026",€700k,,88,2025-06-12 07:28:34
CJ Egan-Riley,Centre-Back,22,Burnley,Marseille,"Jun 30, 2025",€16.00m,,88,2025-06-12 07:28:34
Angel Gomes,Attacking Midfield,24,LOSC Lille,Marseille,"Jun 30, 2025",€20.00m,,87,2025-06-12 07:28:34
Florian Wirtz,Attacking Midfield,22,B. Leverkusen,Liverpool,"Jun 30, 2027",€140.00m,,86,2025-06-12 07:28:34
Marco Verratti,Central Midfield,32,Al-Arabi SC,Al-Duhail SC,"Jun 30, 2025",€10.00m,,85,2025-06-12 07:28:34
Leroy Sané,Right Winger,29,Bayern Munich,Galatasaray,"Jun 30, 2025",€32.00m,,85,2025-06-12 07:28:34
Issa Alkasir,Centre-Forward,35,Persepolis,Foolad,"Jun 30, 2025",€150k,,85,2025-06-12 07:28:34
Min-jae Kim,Centre-Back,28,Bayern Munich,Al-Nassr,"Jun 30, 2028",€40.00m,,85,2025-06-12 07:28:34
Justas Lasickas,Right-Back,27,NK Olimpija,HNK Rijeka,"Jun 30, 2025",€300k,,83,2025-06-12 07:28:34
Lumbardh Dellova,Centre-Back,26,CSKA-Sofia,C. Rizespor,"Jun 30, 2027",€1.00m,,83,2025-06-12 07:28:34
Mustapha Sangaré,Centre-Forward,26,Levski Sofia,Espanyol,"Jun 30, 2027",€700k,,83,2025-06-12 07:28:34
Martín Zubimendi,Defensive Midfield,26,Real Sociedad,Arsenal,"Jun 30, 2027",€60.00m,,82,2025-06-12 07:28:34
Granit Xhaka,Defensive Midfield,32,B. Leverkusen,Galatasaray,"Jun 30, 2028",€12.00m,,82,2025-06-12 07:28:34
Alex Petkov,Centre-Back,25,Slask Wroclaw,Raków,"Jun 30, 2026",€700k,,80,2025-06-12 07:28:34
Abdel Abqar,Centre-Back,26,Alavés,Sevilla FC,"Jun 30, 2025",€7.50m,,80,2025-06-12 07:28:34
Marcelino Carreazo,Defensive Midfield,25,CSKA-Sofia,Raków,"Jun 30, 2025",€1.80m,,80,2025-06-12 07:28:34
Sadegh Moharrami,Right-Back,29,Dinamo Zagreb,Sepahan,"Jun 30, 2025",€600k,,78,2025-06-12 07:28:34
Joan García,Goalkeeper,24,Espanyol,Barcelona,"Jun 30, 2028",€25.00m,,78,2025-06-12 07:28:34
Filip Krastev,Left Winger,23,Lommel SK,Girona,"Jun 30, 2025",€4.00m,,78,2025-06-12 07:28:34
Dominik Yankov,Attacking Midfield,24,Montréal,CSKA-Sofia,"Dec 31, 2026",€1.00m,,78,2025-06-12 07:28:34
Kevin De Bruyne,Attacking Midfield,33,Man City,Napoli,"Jun 30, 2025",€20.00m,,77,2025-06-12 07:28:34
Jamie Gittens,Left Winger,20,Bor. Dortmund,Chelsea,"Jun 30, 2028",€50.00m,,76,2025-06-12 07:28:34
Martin Baturina,Attacking Midfield,22,Dinamo Zagreb,Como,"Jun 15, 2028",€22.00m,,76,2025-06-12 07:28:34
Ivan Perišić,Right Winger,36,PSV Eindhoven,Barcelona,"Jun 30, 2025",€1.50m,,75,2025-06-12 07:28:34
Andrei Burcă,Centre-Back,32,FC Baniyas,CFR Cluj,"Jun 30, 2025",€2.50m,,75,2025-06-12 07:28:34
Zepiqueno Redmond,Centre-Forward,18,Feyenoord U21,Aston Villa,"Jun 30, 2025",€800k,,75,2025-06-12 07:28:34
Hamza Igamane,Centre-Forward,22,Rangers,LOSC Lille,"Jun 30, 2029",€4.00m,,75,2025-06-12 07:28:34
Charalampos Kostoulas,Centre-Forward,18,Olympiacos,Brighton,"Jun 30, 2030",€12.00m,,73,2025-06-12 07:28:34
Zhirayr Shaghoyan,Left Winger,24,Ararat-Armenia,Zrinjski Mostar,"Jun 30, 2025",€250k,,73,2025-06-12 07:28:34
Hamza Igamane,Centre-Forward,22,Rangers,R. Strasbourg,"Jun 30, 2029",€4.00m,,73,2025-06-12 07:28:34
Hamza Igamane,Centre-Forward,22,Rangers,Stade Rennais,"Jun 30, 2029",€4.00m,,73,2025-06-12 07:28:34
Anas El Mahraoui,Centre-Forward,24,COD Meknès,Stade Brestois,"Jun 30, 2027",€550k,,73,2025-06-12 07:28:34
Jack Grealish,Left Winger,29,Man City,B. Leverkusen,"Jun 30, 2027",€28.00m,,70,2025-06-12 07:28:34
Junior Firpo,Left-Back,28,Leeds,Real Betis,"Jun 30, 2025",€8.00m,,70,2025-06-12 07:28:34
Nicola Zalewski,Left Midfield,23,AS Roma,Inter,"Jun 30, 2025",€10.00m,,69,2025-06-12 07:28:34
Luka Hyryläinen,Defensive Midfield,20,Hoffenheim II,Hamburger SV,"Jun 30, 2025",€1.80m,,68,2025-06-12 07:28:34
