player_name,position,age,current_club,interested_club,contract_expiry_date,market_value,last_updated,probability,loaded_at
Vojtech Novak,Attacking Midfield,23,Bohemians 1905,Ruzomberok,"Jun 30, 2025",€200k,30.05.2025 - 12:51,0,2025-05-30 11:21:20
Lukas Kalvach,Defensive Midfield,29,Viktoria Plzen,Pafos FC,"Jun 30, 2025",€2.00m,30.05.2025 - 12:50,0,2025-05-30 11:21:20
Lukas Kalvach,Defensive Midfield,29,Viktoria Plzen,Slo. Bratislava,"Jun 30, 2025",€2.00m,30.05.2025 - 12:49,30,2025-05-30 11:21:20
David Strelec,Centre-Forward,24,Slo. Bratislava,Celtic,"Jun 30, 2028",€6.50m,30.05.2025 - 12:46,80,2025-05-30 11:21:20
Jan Kuchta,Centre-Forward,28,FC Midtjylland,Sparta Prague,"Jun 30, 2025",€4.00m,30.05.2025 - 12:25,0,2025-05-30 11:21:20
Mathias Kvistgaarden,Centre-Forward,23,Bröndby IF,West Ham,"Jun 30, 2027",€8.00m,30.05.2025 - 12:12,83,2025-05-30 11:21:20
Diego Valdés,Attacking Midfield,31,América,Fortaleza,"Dec 31, 2026",€3.50m,30.05.2025 - 11:54,0,2025-05-30 11:21:20
Gustavo Ferrareis,Right-Back,29,Puebla FC,Atlas,"Jun 30, 2025",€1.20m,30.05.2025 - 11:52,0,2025-05-30 11:21:20
Federico Álvarez,Left-Back,30,Asteras Aktor,Tigre,"Jun 30, 2025",€400k,30.05.2025 - 11:50,0,2025-05-30 11:21:20
Bálint Oláh,Defensive Midfield,30,Budafoki MTE,Kisvárda,-,€200k,30.05.2025 - 11:34,0,2025-05-30 11:21:20
Márk Kovácsréti,Left Winger,24,Nyíregyháza,Újpest FC,"Jun 30, 2027",€450k,30.05.2025 - 11:32,0,2025-05-30 11:21:20
Petar Stanic,Attacking Midfield,23,FK TSC,Újpest FC,"Jun 25, 2026",€1.80m,30.05.2025 - 11:29,0,2025-05-30 11:21:20
Carlos Alcaraz,Central Midfield,22,Flamengo,Everton,"Jun 30, 2025",€14.00m,30.05.2025 - 11:28,98,2025-05-30 11:21:20
Milos Pantovic,Centre-Forward,22,FK TSC,Újpest FC,"Jun 25, 2026",€3.50m,30.05.2025 - 11:27,0,2025-05-30 11:21:20
Ángel Di María,Right Winger,37,Benfica,Rosario Central,"Jun 30, 2025",€2.00m,30.05.2025 - 11:27,78,2025-05-30 11:21:20
Petar Stanic,Attacking Midfield,23,FK TSC,Újpest FC,"Jun 25, 2026",€1.80m,30.05.2025 - 11:29,0,2025-05-30 11:21:20
Carlos Alcaraz,Central Midfield,22,Flamengo,Everton,"Jun 30, 2025",€14.00m,30.05.2025 - 11:28,98,2025-05-30 11:21:20
Milos Pantovic,Centre-Forward,22,FK TSC,Újpest FC,"Jun 25, 2026",€3.50m,30.05.2025 - 11:27,0,2025-05-30 11:21:20
Ángel Di María,Right Winger,37,Benfica,Rosario Central,"Jun 30, 2025",€2.00m,30.05.2025 - 11:27,78,2025-05-30 11:21:20
Ezequiel Bonifacio,Right-Back,31,Banfield,Ind. Rivadavia,"Dec 31, 2025",€150k,30.05.2025 - 11:26,0,2025-05-30 11:21:20
Ezequiel Bonifacio,Right-Back,31,Banfield,Ind. Rivadavia,"Dec 31, 2025",€150k,30.05.2025 - 11:26,0,2025-05-30 11:21:20
Malcom Braida,Left-Back,28,San Lorenzo,Boca Juniors,"Dec 31, 2026",€4.00m,30.05.2025 - 11:25,0,2025-05-30 11:21:20
Efraín Álvarez,Right Winger,22,Club Tijuana,Chivas,"Jun 30, 2026",€5.50m,30.05.2025 - 11:23,0,2025-05-30 11:21:20
Juan José Purata,Centre-Back,27,Tigres UANL,Chivas,"Jun 30, 2025",€2.00m,30.05.2025 - 11:20,0,2025-05-30 11:21:20
Eldar Civic,Left-Back,29,Ferencváros,Baltika,"Jun 30, 2025",€750k,30.05.2025 - 11:16,0,2025-05-30 11:21:20
Florent Hadergjonaj,Right-Back,30,Alanyaspor,Persepolis,"Jun 30, 2025",€1.60m,30.05.2025 - 10:44,80,2025-05-30 11:21:20
